Policy_ID,Policyholder_Name,Age,Gender,Policy_Start_Date,Policy_End_Date,Vehicle_Make,Vehicle_Model,Vehicle_Year,Autonomy_Level,VIN,Coverage_Type,Annual_Premium,Deductible,Claim_History,Last_Claim_Date,Claim_Amount,Safety_Score,IoT_Monitoring,Policy_Status,Country
10000,Norma Fisher,49,Female,10/4/24,10/4/25,Tesla,Model 3,2023,Level 4,1HGCM82633A876475,Collision,1110,544,2,14-08-2024 00:00,4389,81,Yes,Active,Singapore
10001,Colleen Taylor,43,Male,24-02-2024,24-02-2025,Tesla,Cybertruck,2021,Level 5,1HGCM82633A815208,Comprehensive,1416,375,2,30-04-2024 00:00,2404,98,Yes,Active,Singapore
10002,Benjamin Jefferson,68,Female,8/5/24,8/5/25,Rivian,R1T,2021,Level 4,1HGCM82633A781565,Collision,1425,627,1,25-08-2024 00:00,4263,90,No,Active,Singapore
10003,Christine Tran,58,Female,20-06-2024,20-06-2025,Tesla,Cybertruck,2019,Level 3,1HGCM82633A840801,Comprehensive,1208,663,0,N/A,0,94,No,Active,Singapore
10004,Jennifer Summers,46,Male,16-09-2024,16-09-2025,Zoox,Autonomous,2019,Level 3,1HGCM82633A097535,Comprehensive,1027,422,1,30-09-2024 00:00,4224,89,Yes,Active,Singapore
10005,Cheryl Bradley,30,Female,2/4/24,2/4/25,Nuro,Delivery,2019,Level 4,1HGCM82633A287115,Comprehensive,1098,661,0,N/A,0,92,No,Active,Singapore
10006,Yolanda Burns,59,Male,27-04-2024,27-04-2025,Nuro,Delivery,2022,Level 3,1HGCM82633A841858,Comprehensive,1194,462,1,19-03-2024 00:00,3189,80,Yes,Active,Singapore
10007,Lindsey Matthews,36,Male,21-06-2024,21-06-2025,Nuro,Delivery,2022,Level 3,1HGCM82633A196593,Basic,1495,687,1,22-04-2024 00:00,2612,76,Yes,Active,Singapore
10008,Roberto Johnson,69,Female,12/9/24,12/9/25,Zoox,Autonomous,2023,Level 3,1HGCM82633A471122,Basic,1495,601,3,16-01-2024 00:00,4374,83,No,Active,Singapore
10009,Stephanie Leblanc,56,Female,28-07-2024,28-07-2025,Tesla,Model 3,2023,Level 3,1HGCM82633A684833,Collision,1401,622,2,20-09-2024 00:00,2779,82,Yes,Active,Singapore
10010,Tiffany Riley,42,Male,23-06-2024,23-06-2025,Zoox,Autonomous,2021,Level 3,1HGCM82633A751591,Collision,1236,331,0,N/A,0,100,Yes,Active,Singapore
10011,Mr. Ryan Sanchez,69,Male,11/10/24,11/10/25,Tesla,Cybertruck,2023,Level 5,1HGCM82633A413525,Comprehensive,875,313,0,N/A,0,95,Yes,Active,Singapore
10012,Antonio Logan,63,Male,27-09-2024,27-09-2025,Rivian,R1T,2021,Level 3,1HGCM82633A309891,Basic,1420,311,1,11/1/24 0:00,2757,97,Yes,Active,Singapore
10013,Colin Greer,55,Male,16-02-2024,16-02-2025,Zoox,Autonomous,2019,Level 5,1HGCM82633A615109,Collision,1435,351,2,9/1/24 0:00,2286,82,Yes,Active,Singapore
10014,Wesley Robbins,66,Female,5/7/24,5/7/25,Cruise,Origin,2020,Level 3,1HGCM82633A300869,Comprehensive,1278,320,0,N/A,0,97,No,Active,Singapore
10015,David Walker,37,Female,8/9/24,8/9/25,Cruise,Origin,2023,Level 3,1HGCM82633A456208,Comprehensive,1488,404,0,N/A,0,100,Yes,Active,Singapore
10016,Kyle Lyons,35,Female,31-05-2024,31-05-2025,Nuro,Delivery,2019,Level 5,1HGCM82633A345792,Collision,1481,389,0,N/A,0,90,No,Active,Singapore
10017,Christina Saunders,61,Female,19-09-2024,19-09-2025,Zoox,Autonomous,2022,Level 5,1HGCM82633A225841,Collision,957,587,0,N/A,0,89,Yes,Active,Singapore
10018,Jessica Thompson,46,Male,2/7/24,2/7/25,Nuro,Delivery,2020,Level 3,1HGCM82633A698456,Collision,1160,612,2,12/9/24 0:00,4758,86,Yes,Active,Singapore
10019,Justin Smith,70,Female,14-10-2024,14-10-2025,Rivian,R1S,2019,Level 3,1HGCM82633A150842,Comprehensive,996,657,2,3/4/24 0:00,2655,82,Yes,Active,Singapore
10020,Karen Bishop,65,Female,18-09-2024,18-09-2025,Rivian,R1S,2019,Level 4,1HGCM82633A599246,Comprehensive,1381,514,0,N/A,0,80,No,Active,Singapore
10021,Sandra Miller,29,Female,18-08-2024,18-08-2025,Zoox,Autonomous,2022,Level 5,1HGCM82633A352337,Collision,1374,609,0,N/A,0,76,No,Active,Singapore
10022,Shawn Carroll,45,Female,9/6/24,9/6/25,Rivian,R1T,2022,Level 3,1HGCM82633A069602,Comprehensive,1448,342,1,21-06-2024 00:00,2060,87,No,Active,Singapore
10023,Michael Griffin,45,Male,8/7/24,8/7/25,Waymo,Jaguar I-Pace,2019,Level 5,1HGCM82633A890075,Comprehensive,1426,350,1,1/5/24 0:00,2487,94,Yes,Active,Singapore
10024,Amber Carson,44,Female,10/6/24,10/6/25,Zoox,Autonomous,2019,Level 4,1HGCM82633A381206,Collision,1442,341,0,N/A,0,83,No,Active,Singapore
10025,Jennifer Smith,32,Female,6/1/24,6/1/25,Waymo,Firefly,2023,Level 5,1HGCM82633A089131,Comprehensive,1155,358,1,24-08-2024 00:00,3140,75,Yes,Active,Singapore
10026,Shelly Ramirez,27,Male,11/3/24,11/3/25,Zoox,Autonomous,2023,Level 4,1HGCM82633A176104,Collision,1381,321,3,24-06-2024 00:00,4917,95,No,Active,Singapore
10027,Ashley Scott,65,Female,10/9/24,10/9/25,Cruise,Bolt,2020,Level 4,1HGCM82633A851240,Comprehensive,1098,304,1,17-01-2024 00:00,2618,83,No,Active,Singapore
10028,Michael Grant,46,Female,22-05-2024,22-05-2025,Zoox,Autonomous,2021,Level 5,1HGCM82633A909776,Basic,842,438,1,24-05-2024 00:00,2612,93,No,Active,Singapore
10029,Cassandra Bennett,48,Female,23-04-2024,23-04-2025,Nuro,R2,2021,Level 3,1HGCM82633A022455,Collision,1045,324,2,22-05-2024 00:00,2735,91,Yes,Active,Singapore
10030,Gina Oliver,44,Female,17-01-2024,17-01-2025,Cruise,Origin,2022,Level 3,1HGCM82633A422945,Basic,1374,546,3,2/6/24 0:00,3380,100,No,Active,Singapore
10031,Beverly Wilson PhD,32,Female,19-01-2024,19-01-2025,Tesla,Model Y,2022,Level 3,1HGCM82633A428146,Collision,1143,676,1,7/5/24 0:00,2682,95,No,Active,Singapore
10032,Brian Hoffman,65,Male,5/7/24,5/7/25,Tesla,Model S,2020,Level 5,1HGCM82633A755171,Basic,862,497,0,N/A,0,78,No,Active,Singapore
10033,Jessica Turner,60,Female,12/10/24,12/10/25,Rivian,R1S,2023,Level 5,1HGCM82633A229611,Comprehensive,1022,516,0,N/A,0,86,Yes,Active,Singapore
